,Birth,Death,Dimension
1152,0.5722895201461647,0.6928559119918882,1
1153,0.6309678375965536,0.6932342498552497,1
1154,0.06882080954631509,0.6951303184349454,0
1155,0.5591529127021482,0.6952401747306713,1
1156,0.43349637921467954,0.6960835315505804,1
1157,0.0545263533924879,0.6967756229166849,0
1158,0.63497365748897,0.697670181592485,1
1159,0.6793002038787092,0.698348663172223,1
1160,0.5395680168107573,0.6989042107551576,1
1161,0.5809722992625479,0.6991157729022726,1
1162,0.6688141563368706,0.6996773327509193,1
1163,0.4276770950186053,0.699901846126943,1
1164,0.5540034575270758,0.7012178137813295,1
1165,0.5166510250124707,0.7013847443595632,1
1166,0.5280697525177573,0.7020576079661801,1
1167,0.5443875141744315,0.7050072966700227,1
1168,0.6267970063399949,0.705379800008386,1
1169,0.6397758009953103,0.7060409119944202,1
1170,0.024586857326782674,0.7065654052167947,0
1171,0.03336495457869082,0.7086386802370338,0
1172,0.5512365882825588,0.7115314794489203,1
1173,0.5699616126279514,0.7135172300647437,1
1174,0.6784409516929363,0.7137138252027367,1
1175,0.6057190325673965,0.7141118645403076,1
1176,0.5271130629374073,0.7146462980705812,1
1177,0.6891216091865364,0.7146670888933238,1
1178,0.40837679357688206,0.7158594291427,0
1179,0.6537473834351087,0.7172791906494623,1
1180,0.6780258433222459,0.7186039846191131,1
1181,0.6928459683472713,0.7211416789872285,1
1182,0.6738481231516507,0.7217574887955801,1
1183,0.7117854825378805,0.7225389467794411,1
1184,0.5557315163444376,0.724203992009255,1
1185,0.7242633892890737,0.7246083926041937,1
1186,0.6449142190507702,0.7255901114784582,1
1187,0.6886139406018436,0.7256239221231302,1
1188,0.2762749956437025,0.7261472570759473,0
1189,0.5383949615388497,0.7264805896756947,1
1190,0.6976573822127905,0.7266502641670142,1
1191,0.4651967097572002,0.7310782583169464,1
1192,0.4463142147045883,0.7311176319741369,1
1193,0.7086457740190598,0.7320967745117816,1
1194,0.6141783721450299,0.7327560321477239,1
1195,0.7252132638411398,0.7343342882965207,1
1196,0.6160618114416677,0.7348624642493848,1
1197,0.62293190108852,0.7351170606657915,1
1198,0.7043341614890474,0.7352019619407516,1
1199,0.6769167528671357,0.7357479667434292,1
1200,0.6073077960683247,0.7371432581754811,1
1201,0.7046385670902339,0.7396217474473474,1
1202,0.6952462835788534,0.7399960000794649,1
1203,0.44063914539377413,0.7406107788073634,1
1204,0.5093878699972473,0.7418892025506509,1
1205,0.5536334163481103,0.7440692173857326,1
1206,0.4600960587839782,0.7452062359979026,1
1207,0.6382721450354073,0.745390723261675,1
1208,0.42876886404161474,0.746081099667349,1
1209,0.7446818741641826,0.746207117720394,1
1210,0.6771620739639838,0.7466021229610426,1
1211,0.639692094731523,0.7474414364852708,1
1212,0.48036197375693834,0.7485955193773094,1
1213,0.627709055340981,0.7491928425534203,1
1214,0.6365957058478359,0.749874339065973,1
1215,0.6372132023520506,0.7510375610707393,1
1216,0.051910864826026804,0.7516018999044268,0
1217,0.4032281685040189,0.7523431371478442,1
1218,0.4715430813451814,0.7529580352673454,1
1219,0.5281082812187495,0.7534157876249233,1
1220,0.7484253945451995,0.7534177456964221,1
1221,0.37110432698773044,0.7547274027799297,1
1222,0.655714249577774,0.7549782701369807,1
1223,0.563516191452422,0.7550876865132162,1
1224,0.6788431477578241,0.7557911032293494,1
1225,0.610170635194421,0.7567213731521254,1
1226,0.6866012785099328,0.756951228312076,1
1227,0.700098452498006,0.7569725386998977,1
1228,0.38863164246791426,0.7569946741012467,1
1229,0.7388979611182271,0.7586061327659589,1
1230,0.7159587533236235,0.7592108022669164,1
1231,0.7136783820935282,0.7593761191180239,1
1232,0.7339979653442055,0.7597396048257277,1
1233,0.758879585128668,0.7617496961805036,1
1234,0.6576794144470658,0.7630337530586548,1
1235,0.7139289058129566,0.7632150253145015,1
1236,0.7526762111229703,0.7634825697979396,1
