,Birth,Death,Dimension
0,0.015718165375457893,0.021067157429628836,0
1,0.025896642455268237,0.028433212498094163,0
2,0.0029521988242884323,0.028433212498094163,0
3,0.012101579825523623,0.03990187429532943,0
4,0.015538396880285577,0.042540305668748224,0
5,0.023992622693667087,0.10215761757375585,0
6,0.048527932327833256,0.10384151187889201,0
7,0.10147352345427507,0.10384151187889201,0
8,0.04560845064001762,0.10715808118260994,0
9,0.07126342313607592,0.1182634121266819,0
10,0.009939645799530106,0.1185854085765311,0
11,0.028116009682543908,0.12113888006333096,0
12,0.06579922233481228,0.12589192556731676,0
13,0.0029181853946259606,0.12589192556731676,0
14,0.00813620001140214,0.1264603318934886,0
15,0.034686409527565965,0.1273942354494616,0
16,0.012004357805691868,0.12918087727371697,0
17,0.10127061851174046,0.13016061848826654,0
18,0.02701012284930915,0.13158180300753453,0
19,0.073122454340943,0.14995980380580753,0
20,0.011998543497528824,0.16169128159278034,0
21,0.053307772244690854,0.16330199742727158,0
22,0.017468891863521296,0.1827403214418457,0
23,0.17844619376068926,0.1945374592802641,0
24,0.2059989915953172,0.21018782489480103,0
25,0.13960639930550622,0.22053189927004713,1
26,0.19914546916531828,0.22534232057854497,0
27,0.22203819215370446,0.2632944149277874,1
28,0.21539055460410306,0.2687761525891492,1
29,0.22679530053052077,0.27372624867474926,0
30,0.22203819215370446,0.27989256244342087,1
31,0.3214833131101319,0.3260992591270535,1
32,0.29988421396803744,0.338813174943428,1
33,0.2400869774857145,0.34810967493515843,1
34,0.18158926450949875,0.3595546397656234,1
35,0.1698913653435169,0.3604308313257265,1
36,0.3681261889127876,0.36942091424443924,1
37,0.17267624166885287,0.3731901481562866,1
38,0.3708037736673292,0.3888249197560516,1
39,0.2313354529475825,0.39956613093686677,1
40,0.39757985379822125,0.4037947906367927,1
41,0.14211420200189984,0.4098422201347298,1
42,0.3836502701535113,0.41721364174759734,1
43,0.32883351182983267,0.42334167769838016,1
44,0.3335137796222575,0.4274619935101397,1
45,0.41040143614517555,0.4532618193540412,1
46,0.41275480915207463,0.45739898996653916,1
47,0.03990187429532943,0.45874541182691553,1
48,0.22658934031790468,0.4673956845930519,1
49,0.23366865267332093,0.4728341040594982,1
50,0.26434400195786356,0.4828387165353132,1
51,0.45240455426421766,0.4828967389875797,1
52,0.45005402701862274,0.4882087177666353,1
53,0.27039305888318077,0.48968271534210084,1
54,0.2970921366024222,0.4926382864611516,1
55,0.3335137796222575,0.4926382864611516,1
56,0.2570058256779145,0.4969230485490418,1
57,0.3945083789343331,0.5081085027033002,1
58,0.35055578249894226,0.5172747079203017,1
59,0.39342671073632596,0.517526806485566,1
60,0.46610057507016767,0.5310502347309151,1
61,0.2174828381582362,0.5394169336975778,1
62,0.5102994202246127,0.5405032441056122,1
63,0.2632944149277874,0.5409094612139111,1
64,0.2312703276666489,0.5413595429237136,1
65,0.3350050181216433,0.5471568824763722,1
66,0.30288293338720496,0.5547548359833017,1
67,0.39187573553754984,0.5582346425360416,1
68,0.5593027240027112,0.5622906291330507,1
69,0.28399493073381243,0.564174052035304,1
70,0.3748090926107287,0.5683504148567645,1
71,0.22319787236917255,0.5712761748594944,1
72,0.5394169336975778,0.5768424042781211,1
73,0.5443369420796502,0.5791848895307643,1
74,0.46610057507016767,0.5799145931336924,1
75,0.3246733730913951,0.580879812601165,1
76,0.5081085027033002,0.5810392305637259,1
77,0.3214833131101319,0.5888283763715954,1
78,0.21539055460410306,0.5890986500702481,1
79,0.2979651126332402,0.5919014430806323,1
80,0.5443369420796502,0.5919014430806323,1
81,0.4263079697112738,0.597353027279949,1
