,Birth,Death,Dimension
0,0.04229339723608905,0.04801539606249339,0
1,0.04967773142242138,0.058820241776016746,0
2,0.03413981731369531,0.06575316995435965,0
3,0.07366239273585073,0.08250223112662991,0
4,0.03656143773511922,0.08714571530065307,0
5,0.028340889447689754,0.09532638710868224,0
6,0.0335786556760298,0.1001169977445675,0
7,0.08471652265908713,0.10472564354552549,0
8,0.019144064487879975,0.10529936020368313,0
9,0.06394851246734656,0.11259305818338783,0
10,0.007260542959602989,0.1127822415685964,0
11,0.00821775468499486,0.11402165725222013,0
12,0.02098754209713838,0.11762439537867186,0
13,0.0791753445966793,0.11923752244672892,0
14,0.12771884289505586,0.1315621738159073,0
15,0.07028978114680284,0.13351662376794127,0
16,0.02165591855407334,0.13462158131280444,0
17,0.08625529041150559,0.13731748056476734,0
18,0.12493941228868033,0.14050292168084477,0
19,0.05990914442400652,0.14445415001755646,0
20,0.003949674911417178,0.14537441432904785,0
21,0.12998467561035643,0.15219863020925917,0
22,0.03655016488094598,0.15219863020925917,0
23,0.027317254411197367,0.1555405649396584,0
24,0.07735714808026117,0.1593502959594505,0
25,0.1251988466262658,0.1674675981091336,0
26,0.020834602320411566,0.1719563024524221,0
27,0.00784867400067124,0.1774796768379543,0
28,0.04841807535414655,0.18010337056019554,0
29,0.011663209808280284,0.18118016967979278,0
30,0.003892486188700306,0.19035136912499295,0
31,0.12088650080104635,0.19397886637825157,0
32,0.021418421481218752,0.1956230227330552,0
33,0.08497412044772679,0.21044171869280193,0
34,0.16784504422297086,0.21503063874481476,0
35,0.00921101119437262,0.21503063874481476,0
36,0.0047952590505701,0.22161926529037845,0
37,0.07878659858836712,0.22523662051525417,0
38,0.0439502006584751,0.24451926886989084,0
39,0.02551400909868773,0.25769912652043414,0
40,0.10994366253548249,0.26528037454005826,0
41,0.12522580193818056,0.28740392342932286,0
42,0.004336036190881076,0.29547491573570417,0
43,0.24451926886989084,0.30214819854705766,1
44,0.2868750676770341,0.3120926233869916,1
45,0.005048966680306299,0.3256681466405478,0
46,0.12422808922556672,0.35718998842025784,0
47,0.3315219355290967,0.3592969093114984,1
48,0.3502397599881043,0.36162647146561056,1
49,0.34616284285485577,0.3902894267160403,1
50,0.37246918030258835,0.4111224377781241,1
51,0.31006581951294876,0.43183376735186885,1
52,0.3741167300074534,0.4385373266242294,1
53,0.39035015453805455,0.438607610070335,1
54,0.2868750676770341,0.4401972777376181,1
55,0.32983310827411516,0.4433743881229567,1
56,0.30496123403547715,0.44381600696358703,1
57,0.25203815155292675,0.444452677684276,1
58,0.341643441446319,0.4504609362585934,1
59,0.4358486361226741,0.4519197447009552,1
60,0.36252251180622697,0.4720865387456986,1
61,0.4244895329980005,0.47290126797399956,1
62,0.4602034690048944,0.4736583773950164,1
63,0.2854268451004365,0.480047921594002,1
64,0.3659632298673019,0.48280571531215233,1
65,0.4731043003422255,0.483220864665332,1
66,0.42207432453021,0.4835919388772302,1
67,0.36728005559143106,0.4904904812771014,1
68,0.4863422052457369,0.4904904812771014,1
69,0.2597151252553772,0.4918855209751378,1
70,0.4285695770796957,0.4931328804356533,1
71,0.4119041432169912,0.5054594886979302,1
72,0.20395314008818966,0.5054594886979302,1
73,0.39388320567748947,0.507930886663237,1
74,0.4644912963286554,0.5174671658561274,1
75,0.41329355365288434,0.5209119555519376,1
76,0.3642662683751202,0.5276995234214333,1
77,0.3297434430448384,0.5291591289156959,1
78,0.3039437373164119,0.5291591289156959,1
79,0.4784751855235029,0.5300246115941522,1
80,0.40015255286311524,0.5354756504748255,1
