Size,1st 0-dim birth mean,1st 0-dim birth var,1st 0-dim birth min,1st 0-dim birth max,1st 1-dim birth mean,1st 1-dim birth var,1st 1-dim birth min,1st 1-dim birth max,2nd 1-dim birth mean,2nd 1-dim birth var,2nd 1-dim birth min,2nd 1-dim birth max
3,0.09905527097433094,0.008487482534294231,7.841458515756017e-05,0.5059715654511163,0.33866443642428,0.02180553134450138,0.0606620863878749,0.7328403451441583,0.4774045281915833,0.02825865615159573,0.1247424847885866,0.9803474233714172
4,0.07039492197905445,0.004369837748907064,0.0001384206570638,0.3396118257168304,0.370363760245208,0.019360174333037643,0.0662733524300036,0.7110976872256216,0.4974182890555428,0.017880927221962738,0.0803922486093995,0.7997203173940877
5,0.041860921484605094,0.0017984200344019344,5.096252445047078e-06,0.2549088765384317,0.3574050064369938,0.01179205980295444,0.0868425459418099,0.6095632061686268,0.4713660722148989,0.013769687467026552,0.215179034250713,0.786868330630118
6,0.028286324119378144,0.0006635674145772368,0.0007045727759252,0.1204777656736713,0.36864394461216476,0.008201401617329117,0.1923616265290099,0.6275820848553927,0.4638359400482442,0.008633411876100748,0.2410087571921091,0.6974761835935487
7,0.02174337536096007,0.00041368675911556004,6.677548367528541e-05,0.0922102816931916,0.3660555820276856,0.01028623179752022,0.1399629263895838,0.6546811321108588,0.46272812456615986,0.009302976909245591,0.1904042070407776,0.7193750502126107
8,0.014828946407706562,0.0001227691697854547,6.569895995067743e-05,0.0526141058291321,0.39035993756256515,0.0074813163211932985,0.1688792595880237,0.6605875718871154,0.4701702418278695,0.007881391191839483,0.3053306916742357,0.7023571609426205
9,0.011296962660722592,0.00012735383508161556,1.9068216855933077e-05,0.0627832801587491,0.386034999373942,0.0049305898366873045,0.1905443218514316,0.5314839725099677,0.4481476311992566,0.005009906801884778,0.2728565272063614,0.6511423844338092
10,0.008605860332057924,7.547379335651876e-05,0.0001092524423764,0.045200348059093,0.36949156640266395,0.005801331576019689,0.2069133898935474,0.5922870075980393,0.44075586572409364,0.005821234472914879,0.2813826757301377,0.6654474811376072
11,0.008882844293086905,8.637599104617165e-05,4.6685628643960975e-05,0.0416800476227423,0.3863562254458042,0.004375752782407348,0.2634643429709877,0.5277581184886444,0.44897897077323706,0.004649036509167461,0.2892487956632024,0.599742793202488
12,0.007693576193564304,5.4380937296256307e-05,5.645454084546309e-06,0.0350864302687019,0.38373559789255074,0.003713841193454701,0.2201093033078758,0.5465190530187513,0.4436564461141952,0.004681240290491784,0.294598523650273,0.6373516348238663
