,Birth,Death,Dimension
0,0.0067450687813780386,0.05377504962362889,0
1,0.03660642684727877,0.05377504962362889,0
2,0.010289996000419799,0.0558627172233801,0
3,0.06592200892124878,0.07411293777022632,1
4,0.04991927354723191,0.07829975829480862,0
5,0.00319697726978152,0.08956183004013596,0
6,0.056057861686268584,0.09682941379579979,0
7,0.026343154494193555,0.11345433062784882,0
8,0.0044742161195180374,0.1325230428723636,0
9,0.08956183004013596,0.1819897206311677,1
10,0.07182316377060605,0.1819897206311677,1
11,0.15915551549122842,0.1991171399992392,1
12,0.24597710015628627,0.2558153651687687,1
13,0.17970684468741438,0.2607212500657434,1
14,0.17970684468741438,0.2607212500657434,1
15,0.24312326777515136,0.28819335048325123,1
16,0.14782312728786107,0.2928111634412801,1
17,0.15946209563674218,0.2946028690920387,1
18,0.30090385398014796,0.32628865227551984,1
19,0.13488767039809157,0.33017006006513017,1
20,0.21994745531660465,0.3611785584342335,1
21,0.17546167305265703,0.3611785584342335,1
22,0.17139840672856554,0.3617474008916096,1
23,0.1459595468224597,0.36310171536568614,1
24,0.2958074038255054,0.39034616997728533,1
25,0.35823993551369904,0.39034616997728533,1
26,0.2958074038255054,0.4007009215679024,1
27,0.24454609069349542,0.4007009215679024,1
28,0.19929632591429014,0.42312985698856964,1
29,0.1813496819288234,0.4283756561576916,1
30,0.32298503158743075,0.43657713254915953,1
31,0.15915551549122842,0.4441320392595074,1
32,0.24508043302047366,0.4513134034662575,2
33,0.18326894912499014,0.45794545886389704,1
34,0.30090385398014796,0.4687264882324964,1
35,0.33558072448167076,0.4951457135124212,1
36,0.5008340651369246,0.5011573944026128,2
37,0.17446283290374964,0.514450001561558,1
38,0.1338432278031012,0.5176769595652859,1
39,0.1990634033730273,0.527447378119682,1
40,0.17446283290374964,0.5710495246594716,1
41,0.33558072448167076,0.5720530195040655,1
42,0.14782312728786107,0.5787723442361263,1
43,0.16423941781635187,0.579402451767854,1
44,0.21155591882245994,0.5818841743276566,1
45,0.21994745531660465,0.5822277253803857,1
46,0.15946209563674218,0.6336735159593707,1
47,0.1813496819288234,0.6417356767112463,1
48,0.1813496819288234,0.6670958648468231,1
49,0.16170693444841577,0.6670958648468231,1
50,0.7477756956772946,0.7655328819506869,2
51,0.6737278750342028,0.7667971851216571,2
52,0.7356762940001594,0.8074679319372288,2
53,0.6939676107809454,0.8173767052560461,2
54,0.6985327936857053,0.8194215591900647,2
55,0.5466794767391349,0.8365756682102298,2
56,0.7477756956772946,0.8494007027939718,2
57,0.8183831868926664,0.8536922869473906,2
58,0.796452741165543,0.8623143461212738,2
59,0.7116905748744975,0.8754543409608808,2
60,0.6985327936857053,0.8839488549489898,2
61,0.7102060496791331,0.8968895455645046,2
62,0.7424206739529898,0.905398513971997,2
63,0.7897330744630839,0.9181908485222281,2
64,0.6925960257574325,0.9436753306988774,2
65,0.6336735159593707,0.9449130776401059,2
66,0.7285742492245362,0.9452191667284771,2
67,0.9255488149499265,0.946875205426474,2
68,0.6953790977014278,0.9602201654048429,2
69,0.7733691323447984,0.9607899614610164,2
70,0.7373715222066066,0.9748289118442675,2
71,0.7020718166799523,0.9808648645062982,2
72,0.7285742492245362,0.981656661914966,2
73,0.7273568411851311,0.9839421017285744,2
74,0.6925960257574325,0.986199877364322,2
75,0.0005689724468710411,inf,0
76,0.07182316377060605,inf,1
77,0.09240413492512645,inf,1
78,0.1338432278031012,inf,1
79,0.613792142580865,inf,2
80,0.6953790977014278,inf,2
81,0.7733691323447984,inf,2
