Birth,Death,Dimension,Space
0.0113637960548788,0.0383511060985333,0,0
0.0303944040951776,0.0464231182299975,0,0
0.0252339295392503,0.0476334837749444,0,0
0.0081659070471126,0.0516604732295341,0,0
0.0168438103328139,0.060021334557281,0,0
0.0463998677537007,0.0681297422433174,0,0
0.0175597283859322,0.0681297422433174,0,0
0.0104591335227918,0.0704822148933962,0,0
0.0162869299157809,0.092298222524832,0,0
0.0043502963247926,0.1011747127753871,0,0
0.0727736026634756,0.1011747127753871,0,0
0.0940490031550612,0.1086832989628184,0,0
0.0969646084253123,0.1345507277830926,0,0
0.1550545324586364,0.2021387213411014,1,0
0.1881760487185431,0.2114336139763213,1,0
0.2132966905204897,0.2147378374288061,1,0
0.2611185553303095,0.2751612477391311,1,0
0.2238214352077916,0.296002246487838,1,0
0.2093276077476549,0.296002246487838,1,0
0.2276263140680344,0.3040860253784423,1,0
0.3001654797728947,0.3099312273785811,1,0
0.3104280269206723,0.3236848676227634,1,0
0.3319743787548694,0.3399547529195256,1,0
0.1881760487185431,0.3463300771814881,1,0
0.092298222524832,0.35006013170925,1,0
0.2093276077476549,0.3582275245176258,1,0
0.2528937708690046,0.3582275245176258,1,0
0.1893282243410594,0.3628331680462733,1,0
0.1916617583554852,0.3707320597862116,1,0
0.3200302638410626,0.3827888888570897,1,0
0.1359979745996717,0.4117345556229029,1,0
0.3276163105696246,0.4241591235510653,1,0
0.1011747127753871,0.4289737475351599,1,0
0.2611185553303095,0.4317959393951357,1,0
0.3104280269206723,0.4337101372834598,1,0
0.3276163105696246,0.4337101372834598,1,0
0.2093276077476549,0.4501877776627621,1,0
0.3016008863308067,0.4520690600567284,1,0
0.4666863695683194,0.4734996717769065,1,0
0.3473273841102959,0.4813075387340385,1,0
0.1622800567892426,0.4847747101571961,1,0
0.3473273841102959,0.4848206488137204,1,0
0.1610485670430108,0.4848206488137204,1,0
0.4058019524226454,0.4867736802238978,1,0
0.1610485670430108,0.4867736802238978,1,0
0.4241591235510653,0.4901526661136323,1,0
0.4289737475351599,0.4980984373113357,1,0
0.2873865086861614,0.5066661511407765,1,0
0.2528937708690046,0.5194657445723728,1,0
0.2873865086861614,0.5208475038415022,1,0
0.2147378374288061,0.5269087546359604,1,0
0.2472082526496589,0.5282897556819652,1,0
0.4636022480012444,0.5282897556819652,1,0
0.2408218889174724,0.5318266527583062,1,0
0.3276163105696246,0.5318266527583062,1,0
0.4451752641952002,0.5375200525131294,1,0
0.2408218889174724,0.5396004837353594,1,0
0.2604842040610599,0.5401496552321953,1,0
0.3643621281379157,0.5401496552321953,1,0
0.4993952508065656,0.5406396046110052,1,0
0.4637190758024775,0.5587127566216871,1,0
0.2873865086861614,0.5614432212913724,1,0
0.1978749137575584,0.5614432212913724,1,0
0.4666863695683194,0.5694402728956408,1,0
0.2155175368618225,0.5694402728956408,1,0
0.4993952508065656,0.5760611362412353,1,0
0.3837655139345599,0.5776370022303176,1,0
0.1978749137575584,0.5776370022303176,1,0
0.1051253616199929,0.5881536089633908,1,0
0.1916617583554852,0.6059556261730662,1,0
0.2088076379071115,0.612910918358293,1,0
0.3135442313085796,0.614818753417591,1,0
0.1227665626706063,0.614818753417591,1,0
0.1086832989628184,0.6153758694147174,1,0
0.3104280269206723,0.6359768406603045,1,0
0.353133394896258,0.6474529214840725,1,0
0.1797487178691371,0.6486827947737643,1,0
0.1495057268062961,0.6486827947737643,1,0
0.1400968592259972,0.6517414734175933,1,0
0.1571687143531036,0.6526679724533768,1,0
0.1467348790774257,0.6554421614372844,1,0
0.6359768406603045,0.6590539459344569,1,0
0.6569213695121202,0.6660278751482956,2,0
0.5361600101718008,0.6679105705740673,1,0
0.1916617583554852,0.6696730684784798,1,0
0.6517414734175933,0.6840041299907086,2,0
0.5175273899374887,0.703361707235706,2,0
0.6059556261730662,0.7346816562467461,2,0
0.7375500907747224,0.7607122710442428,2,0
0.5776370022303176,0.7609934319828202,2,0
0.6696730684784798,0.7633724340139691,2,0
0.7375500907747224,0.7672698068233641,2,0
0.5694402728956408,0.7690602048318939,2,0
0.7120777629783576,0.7955786174423121,2,0
0.7574156358943028,0.7965540028378858,2,0
0.7462665879582319,0.820617388449793,2,0
0.707194586611273,0.8228543024678256,2,0
0.7295452086795308,0.8323107266218416,2,0
0.6175307930471622,0.8386874540459315,2,0
0.7135228566833461,0.854226489905897,2,0
0.7462665879582319,0.8585226090354124,2,0
0.7869813566569607,0.8623249968919797,2,0
0.7135228566833461,0.8650091945293759,2,0
0.7944371538218111,0.8839655622634843,2,0
0.8243307386688979,0.8850069313924709,2,0
0.7694583964645599,0.8941548674186998,2,0
0.7735091914074295,0.896740961605079,2,0
0.8362382845182778,0.9041257144995284,2,0
0.6679105705740673,0.9047833990060438,2,0
0.7748040616176501,0.9171047048224568,2,0
0.6941716519996433,0.9202227898799852,2,0
0.7340034426500766,0.9214148389943244,2,0
0.5719256413964153,0.9251573636310738,2,0
0.9219857893084734,0.9277723172943764,2,0
0.6841588470463574,0.9307411320885488,2,0
0.8811148200538154,0.9320245124935675,2,0
0.6884941944116563,0.9332636272183088,2,0
0.7624523886633776,0.9400474349133698,2,0
0.806433103303252,0.9409536554293356,2,0
0.7269553701187893,0.9449875166590798,2,0
0.6681180409167157,0.9514520394960329,2,0
0.7367996587839318,0.9558455865670566,2,0
0.7694583964645599,0.9573328719786176,2,0
0.6942296564061741,0.9630260454150302,2,0
0.707194586611273,0.9669005724924684,2,0
0.6841588470463574,0.9681175991336554,2,0
0.7148057452729519,0.9684521748337956,2,0
0.6751869839405148,0.9723625333571304,2,0
0.7541993801898497,0.9741029890722452,2,0
0.7589108620553547,0.9807156429942048,2,0
0.8531325050604096,0.9809491451918092,2,0
0.6841588470463574,0.982884032494003,2,0
0.8531325050604096,0.983195414323474,2,0
0.6736904213079205,0.9833073697591744,2,0
0.0011822476159895,inf,0,0
0.0907610291264657,inf,1,0
0.1056818830395047,inf,1,0
0.1359979745996717,inf,1,0
0.6590539459344569,inf,2,0
0.6679105705740673,inf,2,0
0.7173245658575388,inf,2,0
0.0172251160972761,0.0432437279287016,0,1
0.009781830220246,0.0657875291462655,0,1
0.0720869753768161,0.082335155270344,0,1
0.0331665836281329,0.0860767061616271,0,1
0.0677466033754672,0.0998482182444608,0,1
