Birth,Death,Dimension,Space
0.0070457126804043,0.0155569112216964,0,0
0.0070381787235875,0.0288534640709688,0,0
0.0372444073137286,0.0554434351720011,0,0
0.0354917602151624,0.0666404090749319,0,0
0.0894020221140891,0.0906224044483455,0,0
0.0642877786484228,0.1019509753622651,0,0
0.0989153639645522,0.1089810928326054,0,0
0.0615371666266429,0.1112156523931162,0,0
0.0295571691643967,0.1139532136433042,0,0
0.0532464729384148,0.1159708465680803,0,0
0.0377754309019212,0.1166040719868992,0,0
0.0427573609219688,0.1205012664010716,0,0
0.0739167230372183,0.1205012664010716,0,0
0.1292251951424292,0.1335662438363662,0,0
0.1211061750554917,0.1344339661923002,0,0
0.0046771691973059,0.1371961043918738,0,0
0.0586736146638647,0.1419954208511321,0,0
0.1321492399072595,0.1471864209552842,0,0
0.0633670336207334,0.1471864209552842,0,0
0.0887654307430262,0.1531646883561548,0,0
0.0916896592200543,0.1545156198912488,0,0
0.0617155522507322,0.1601904327447798,0,0
0.1230969669940976,0.1622622831048958,0,0
0.0803930578146231,0.1657617870323529,0,0
0.0738142000844237,0.1685006526613031,0,0
0.1420545926760054,0.1710995672370366,0,0
0.0416591489947806,0.1775015343241635,0,0
0.0418874299444371,0.1775422189636779,0,0
0.1464029203650434,0.1787074155077573,0,0
0.1285006202565939,0.1793935708322264,0,0
0.0951158349118043,0.1853525896152652,0,0
0.0652671528844608,0.1865316555883305,0,0
0.0184367403728894,0.1870306101806815,0,0
0.1097245177557209,0.1898464531948431,0,0
0.0972524328142011,0.1961387454256575,0,0
0.1190690822130322,0.1961747921499886,0,0
0.0648026297498955,0.1968216862930748,0,0
0.0978855203605213,0.2003151289623761,0,0
0.1365772223056459,0.2007033053022778,0,0
0.0612690577480359,0.2007152577776625,0,0
0.1049637732966762,0.2062167696471162,0,0
0.1215239184154481,0.2078050827628805,0,0
0.1238204359384629,0.2092771707174566,0,0
0.0877911339930984,0.2126221051230398,0,0
0.0732547242795247,0.213267074206666,0,0
0.035248321531752,0.2133441850565725,0,0
0.0873097469327708,0.2136288882067675,0,0
0.2012079933378235,0.215103863948648,0,0
0.2051207205951326,0.2159864793928723,0,0
0.1537275854734712,0.2164166640383835,0,0
0.1529344157616561,0.2185200317368917,0,0
0.0514253643083788,0.219052593591714,0,0
0.1667335740244966,0.2224607870727666,0,0
0.1040172638555378,0.2240596970878555,0,0
0.1451619537587039,0.2241667383458593,0,0
0.0790501094009504,0.2295979521501353,0,0
0.2236731157954807,0.2296815597381925,0,0
0.0837269342850549,0.2426309783279167,0,0
0.0326965372182277,0.2429459702932455,0,0
0.0189181064298766,0.2458590136390994,0,0
0.1579120575876952,0.2472919603622365,0,0
0.1142612631100198,0.2479712417068428,0,0
0.1571810566290659,0.2479712417068428,0,0
0.0913464655744276,0.2483576783643426,0,0
0.1371608362476003,0.2521943578924642,0,0
0.2003764064390375,0.2535466580001664,0,0
0.0327595795398963,0.2540078361560526,0,0
0.0189364961071861,0.256093054125395,0,0
0.0750722838575396,0.2584232708083216,0,0
0.0711698826945496,0.2596915751071098,0,0
0.2493233782758543,0.2598464665108703,0,0
0.0195476627099218,0.2624904666365417,0,0
0.2248637134277962,0.2639940431897417,0,0
0.0924540748502688,0.2645233852541679,0,0
0.1466101662232082,0.2647743125408082,0,0
0.1646728417230782,0.2656492745875882,0,0
0.0545184081062024,0.2658892380269795,0,0
0.1393426452572125,0.2693781509690974,0,0
0.0596481435229622,0.2694612882673589,0,0
0.016595765112057,0.2701193240710415,0,0
0.0845112447392095,0.2709342482152614,0,0
0.0157096620846164,0.2710295590910009,0,0
0.1720111083292579,0.272853655276711,0,0
0.037651661681777,0.2738924393319052,0,0
0.1329886996956367,0.2767012022838083,0,0
0.1511490464304862,0.2769907578807919,0,0
0.0152546068152497,0.2772439880805619,0,0
0.0164124261071483,0.2794508287663624,0,0
0.0431029637645936,0.2807386210400037,0,0
0.0248018839919237,0.2807386210400037,0,0
0.1572117443386421,0.281157112321292,0,0
0.246958476848862,0.2816493497300959,0,0
0.0264152675383042,0.2834555193804655,0,0
0.1303022901709914,0.2836963099759252,0,0
0.2827227203220918,0.2839591862641568,0,0
0.1116917117907145,0.2843597820570412,0,0
0.1169501587418153,0.2885703638707338,0,0
0.1606891133966751,0.2892227297800226,0,0
0.2535279245319588,0.2894783601389005,0,0
0.0273868311853939,0.2946776222635964,0,0
0.0724796655893345,0.2963066720120714,0,0
0.0564930597280808,0.2970616857259669,0,0
0.1379637701804041,0.297918408926545,0,0
0.0523453898521503,0.2985346131917928,0,0
0.1162815899439619,0.2997883354957145,0,0
0.0922262238085191,0.301137014113556,0,0
0.0859852178311793,0.3024527762441716,0,0
0.0970751209659858,0.3028037538125973,0,0
0.1720968998581419,0.309684580265811,0,0
0.2231689112106898,0.3100287763393577,0,0
0.141728632347456,0.314992984509853,0,0
0.0275468131659891,0.315325206904576,0,0
0.0242639288996807,0.3161442317484403,0,0
0.0075378540898243,0.3184636226880929,0,0
0.1098730191565263,0.319339851079531,0,0
0.0823388775883308,0.3262214248985868,0,0
0.0290852839585089,0.3267549040159835,0,0
0.2142410005184996,0.329040387017005,0,0
0.053758826820389,0.3293332833970896,0,0
0.086103868753977,0.3329609759722229,0,0
0.1332436269649739,0.3330713259603324,0,0
0.0872812203648082,0.3360560943277525,0,0
0.1839194401455078,0.3366724872900321,0,0
0.0432977322181626,0.3370747903113599,0,0
0.0183978987016346,0.3387175603703305,0,0
0.0148456966980082,0.3410961358925568,0,0
0.0288587724186426,0.344125922435192,0,0
0.0325677338755295,0.346477916533447,0,0
0.1110199133788937,0.3466146206551197,0,0
